,Date,C02_EMMISSIONS_RUS,COAL_CONSUM_O_RUS,COAL_PROD_O_RUS,COAL_PROD_RUS,ELEC_GEN_RUS,GAS_CONSUM_D_RUS,GAS_CONSUM_O_RUS,GAS_CONSUM_RUS,GAS_PROD_D_RUS,GAS_PROD_O_RUS,GAS_PROD_RUS,GAS_RESERVES_RUS,GEO_CAP_RUS,GEO_CONSUM_O_RUS,GEO_CONSUM_RUS,HYDRO_CONSUM_O_RUS,HYDRO_CONSUM_RUS,NUC_CONSUM_O_RUS,NUC_CONSUM_RUS,OIL_CONSUM_D_RUS,OIL_CONSUM_RUS,OIL_PROD_D_RUS,OIL_PROD_RUS,OIL_REF_CAP_RUS,OIL_RESERVES_RUS,PRIMARY_CONSUM_O_RUS,SOLAR_CAP_RUS,SOLAR_CONSUM_O_RUS,SOLAR_CONSUM_RUS,WIND_CAP_RUS,WIND_CONSUM_O_RUS,WIND_CONSUM_RUS
0,2020-12-31,1482.1884744686763,,,399.6642382352941,1085.41873,40.86113000727679,,423.483407079646,61.49134222593446,,637.2942477876106,37.391524354530056,74.0,,0.513382,,,,,3209.643876826205,145.01554893833824,10666.571958476878,524.404217284094,6736.0,107.80423919999998,28.88028669449504,1427.82,,,945.3,,
1,2019-12-31,1595.6856340769762,,,440.90578315143375,1118.14323,42.9883665251515,,444.312721238938,65.69928560937984,,679.0448377581122,37.55674101264012,74.0,,0.521152,,,,,3376.160086743876,153.25213048273233,11679.000289002675,573.3888449305367,6676.000000000001,107.80423919999998,30.023606981582475,1276.32,,,101.9,,
2,2018-12-31,1605.9617967535914,88.0316406921,220.154319562,441.5764705882352,1109.1977900000002,43.9739447844894,,454.4993134218289,64.73835347966518,,669.1129793510324,37.64098801333335,74.0,0.105104765353,0.5043070000000001,43.040482871,,46.2734692492,,3309.731562435285,149.93087254236357,11562.426127435556,567.8848884355369,6551.0,107.2207794,30.243228923250125,535.32,0.129216635742,,51.9,0.0515318821559,
3,2017-12-31,1548.6007597065984,83.93,205.8,412.5403406554394,1091.184,41.71005986703943,,431.1005907079646,61.49210230749607,,635.5608626106193,37.88823464580261,74.0,0.106018916595,0.5191790000000001,41.9327804679,,45.9667760329,,3279.861898469619,148.35033302079353,11373.675921187154,558.5466969122034,6544.999999999999,106.591534,29.16864760462608,225.32,0.120898764538,0.544,10.9,0.0317350771598,0.139
4,2016-12-31,1566.991266666676,89.25,193.97,386.6134705882353,1090.970224,40.58739149246149,,420.6463901179941,56.8580893775393,,589.2753676991149,34.83325247195036,78.0,0.100896049237,0.4458999999999999,41.8053382812,186.618257,44.4889315292,196.619151,3275.492347611221,149.0625994225462,11342.060917541026,558.4790788475791,6543.000000000001,106.28289,28.99342497468875,76.32,0.105964610581,0.4683,10.9,0.0321763135267,0.1422
5,2015-12-31,1549.5374292507715,92.148,186.368,372.4823529411765,1067.5432990000002,39.54031070822261,352.3362035762,408.67482227138646,56.54598889042091,515.97285194,584.4395642330383,34.957399828550294,78.0,0.108883558854,0.4811999999999999,38.0126802281,169.941572,44.230033715,195.472497,3196.792571102916,145.40340099374495,11086.796305587195,544.5523643644659,6472.0,102.3752,28.368367202389216,61.32,0.0759379101235,0.3356,10.9,0.0327193736706,0.1446
6,2014-12-31,1579.2218491809256,87.5518,176.5918,357.39699248120303,1064.1965,40.84873547058546,370.69423258035,422.1982429941002,57.195739165462975,523.57023657396,591.1551558259587,35.04905892663289,78.0,0.125446893243,0.5543999999999999,39.2348508847,174.8724,40.9008915237,180.7601,3300.309270251226,151.68539837287028,10927.102235449962,537.4205868790692,6366.0,103.163892,28.85624603744691,5.0,0.0362040095941,0.16,10.0,0.0217224057564,0.096
7,2013-12-31,1581.0546843852849,90.517,173.117,355.2310000000001,1059.0855,41.10698598044628,372.11562986889,424.86742994100297,59.45404533804878,544.24278866069,614.4962185840708,34.94399691566372,79.0,0.108957550799,0.481527,40.9900891524,179.3788,39.0342806716,172.9766,3163.3688950886994,144.35101504169384,10806.839889771443,532.2235848280378,6228.999999999999,105.0164164,28.78728450920483,1.259,0.0024437706476,0.0108,10.0,0.00101212834321,0.004473
8,2012-12-31,1605.0498904481628,98.4256,168.2856,358.3,1069.2893,41.35731988567135,374.61420906052,428.6259026548672,58.07187345918001,533.04678863332,601.8549859882006,34.64007103140118,81.0,0.113782187627,0.502849,36.9857220437,164.517,40.1714938679,177.7001,3139.5380751044963,145.60157497427804,10655.733492474854,526.7356454828446,5767.0,105.491586,29.15566786523684,0.093,0.000952958964863,0.00421150684932,10.0,0.00118817033987,0.005251
9,2011-12-31,1591.0728858256157,94.017,157.577,337.3999999999999,1054.8575,42.14888553960911,382.1099466354,435.63613938053095,59.6796241554993,546.30773889198,616.8277223451328,34.4595271159587,81.0,0.126082273612,0.557208,36.8954156673,164.7492,39.1323030276,173.0406,3094.0429705263896,143.17249007753347,10533.363502873137,519.4636585157635,5673.0,105.7094496,29.09026761121705,0.023,0.000271530071955,0.0012,10.0,0.00122007512332,0.005392
10,2010-12-31,1526.6383375550442,90.543222,150.953222,322.93663003663005,1038.0327,41.01534152733461,372.7343900514,423.92022492625375,57.8954134236516,529.97506011902,598.3867442477875,34.11641819265486,81.0,0.121490247545,0.536914,37.6710639453,168.20621,38.5605964611,170.3344,2879.3056902417025,133.35130798248233,10378.619940085851,512.3156265443749,5527.0,105.8003518,28.13247898714517,0.01,0.0,0.0,10.0,0.000947187401005,0.004186
11,2009-12-31,1483.4369610677643,92.1538247,141.71822,302.54865330747685,993.1,38.4871112990159,350.68153931876,397.78932153392327,51.87770052658964,474.88886993912,536.1897684365781,34.04779640799409,81.0,0.112549214826,0.4974,39.4168891705,176.134,37.0146399964,163.5825,2784.844570856983,128.66307688251572,10152.260439387912,501.3628477677965,5389.000000000001,105.563953,27.079883644475167,0.0,0.0,0.0,10.0,0.000859845227859,0.0038
12,2008-12-31,1593.1445406379046,100.7183142,148.95426,330.2122799484758,1040.0,40.79014433082551,374.416290508,422.7477138643068,58.997970340582725,541.547512636,611.4530235988201,33.97917462333333,80.0,0.110625876816,0.4889,37.2856043807,166.728,36.9018192515,163.0839,2871.2831547513188,134.1412046134616,9964.512396016227,494.2542141132288,5333.000000000001,106.366166,28.4926533910134,0.0,0.0,0.0,10.0,0.00117663031181,0.0052
13,2007-12-31,1560.839848693357,93.916039,143.47508,315.7005152425934,1018.7000000000002,41.48913445240225,379.791856132,428.81718289085546,58.20757400549335,532.832580488,601.6131268436578,33.91055283867256,90.0,0.109630266552,0.4845,40.0608679911,178.979,36.21702041,160.0575,2785.923642207288,130.19830931069,10057.140786589716,497.330957124185,5391.000000000001,106.42702900000002,28.36200386112931,0.0,0.0,0.0,10.0,0.00149341539576,0.0066
14,2006-12-31,1565.0773730705064,97.0217262,140.98,311.3705882352941,992.1,40.804025433994575,373.520362904,421.7361356932153,58.51409355983289,535.6384628478,604.7812057522124,33.773309269351024,87.0,0.114427297823,0.5057,39.2100737657,175.214,35.3975652804,156.5,2777.793265619245,131.1242164915986,9833.509728783783,486.254243,5428.999999999999,104.033724,28.212971130954493,0.0,0.0,0.0,10.0,0.00117663031181,0.0052
15,2005-12-31,1495.3695510255973,94.5746032,135.55836,300.1355517389438,954.1,38.739800859051975,354.624435256,400.4010324483776,57.03310140250877,522.08144924,589.4741887905604,33.773309269351024,79.0,0.102117934561,0.4513,39.0575643753,174.538,33.8159026112,147.606,2645.87617499739,124.95735185557452,9597.655158283103,474.819445,5312.999999999999,104.404815,27.01404877129061,0.0,0.0,0.0,10.0,0.00153867040775,0.0068
16,2004-12-31,1517.3920349820685,99.8926852,137.08016,284.6584422498927,931.9,38.17254751168399,350.389141128,395.6190265486725,56.21178253986939,515.97285194,582.5770648967552,33.6360657000295,56.0,0.101778521971,0.4498,39.7513237091,177.637,32.743585102,144.7265112,2620.660010593339,124.73963177753195,9335.081578797815,463.29092,5246.000000000001,105.46368,27.05071744018896,0.0,0.0,0.0,9.0,0.00158392541974,0.007
17,2003-12-31,1505.505513228921,104.2487964,132.46016,279.006206955775,916.286,37.30730018419958,341.511313052,385.5952064896756,55.20910985999484,505.38461662,570.6220501474926,33.773309269351024,70.0,0.0827714169344,0.3658,35.2242385844,157.628,34.0186450649,148.6288414,2652.551786670958,126.467072105,8602.47518750685,425.713784,5257.999999999999,107.766699,26.81448226500291,0.0,0.0,0.0,9.0,0.00194596551568,0.0086
18,2002-12-31,1475.5807946036766,103.6061446,122.57098,258.90771404036064,891.2860000000001,36.44424077140031,333.610860544,376.6749262536874,52.97583241038022,484.941177656,547.5396755162242,33.91055283867256,70.0,0.0392134678916,0.1733,36.6959315744,164.147,32.0471104675,141.6550282,2543.5475424657543,122.05935,7754.790855616438,383.695371,5389.000000000001,109.6772506,26.27445898664986,0.0,0.0,0.0,7.0,0.00140290537177,0.0062
19,2001-12-31,1466.0726901191213,103.1735189,128.38785,274.3250430677743,891.284,36.00826230514087,329.619910308,372.16880530973447,51.73907716935858,473.61991066,534.7570058997051,33.36157856138643,21.0,0.0258179843418,0.1141,39.3490066525,175.9318946,30.984975336,136.9262702,2627.68885066661,127.085607112915,7105.859497260273,351.6795818436638,5480.999999999999,111.295177,26.38176374400344,0.0,0.0,0.0,3.0,0.000701452685885,0.0031
20,2000-12-31,1452.76305630572,105.7658416,121.49538,262.21045466838774,877.764,35.333120453632176,324.325792648,366.1912979351032,51.81954380944551,475.65610976,537.0560471976402,33.15571320740412,23.0,0.0178983572431,0.0791,37.1263067385,165.3341734,29.577544463,130.5225596,2540.012897429632,123.24442147144242,6582.837881147541,326.6506254920858,5521.0,112.1120226,25.970725750178502,0.0,0.0,0.0,3.0,0.000429922613929,0.0019
21,1999-12-31,1445.8139798575903,101.9770101,117.7802,255.2031539482016,846.225,34.68249270004162,317.48380513806,358.4661143588495,52.67331673991449,482.17194688,544.4129793510324,32.94984785342183,20.0,0.0131239534778,0.0579999999999999,36.3153369236,160.9236122,27.5770466579,119.964613,2567.796824562685,125.684019101,6118.780054794522,304.76800000000003,5536.0,112.1120226,25.511534937253806,0.0,0.0,0.0,,0.0,0.0
22,1998-12-31,1445.305840369964,101.1565524,108.83541,235.45765418443096,827.158,34.78931990749535,318.46170221738,359.5702430123156,52.37080106944877,479.402716104,541.2862831858407,33.36404894563422,17.0,0.0131239534778,0.0579999999999999,35.8639181789,158.7271704,23.4690229443,104.1166446,2489.8136546048217,123.106438202,6109.998246575343,304.34000000000003,6028.000000000001,113.1119934,25.192608668108576,0.0,0.0,0.0,,0.0,0.0
23,1997-12-31,1463.6551904914495,108.0351006,116.0359682,250.3853657624503,834.131,33.419112556601185,305.91881358038,345.40825906297925,50.6535797635698,463.683259052,523.5376843657816,33.56744391536873,14.0,0.0128976784179,0.057,35.6233877902,157.529513,24.5503914559,108.3150746,2630.121662889316,128.35526517000002,6170.674849315068,307.42,6277.000000000001,113.1119934,25.23961932872501,0.0,0.0,0.0,,0.0,0.0
24,1996-12-31,1562.9458643087778,117.16569238,120.76006638,262.3534410286728,847.183,36.13703878519907,331.70502909138,374.5230810748524,53.292496595809865,489.176471784,552.3216814159292,33.42532819933628,11.0,0.0128976784179,0.057,34.9162782278,154.0293482,24.6698646875,109.0177592,2623.976476640437,129.55939708000002,6061.591967213114,302.873,6560.0,113.607231,26.687527940892664,0.0,0.0,0.0,,0.0,0.0
25,1995-12-31,1616.4181228902546,119.3762396,124.7136172,269.5747647058824,860.027,36.03500149620045,329.86468106878,372.44517223650433,52.36190354972919,479.32126814,541.1943215339232,33.70468748469027,11.0,0.0133502285378,0.059,39.8821559488,177.0323252,22.5216092682,99.3967254,3058.016887853699,150.59839757,6235.776931506849,310.749,6612.0,113.607231,27.727319450800763,,0.0,0.0,,0.0,0.0
26,1994-12-31,1726.2732529868408,123.9230573,131.3398003,278.30417647058823,875.914,37.28068308490557,341.26765992018,385.32010146069314,54.03463725701025,494.633485372,558.4831120943952,34.50941515340707,11.0,0.0138027786577,0.061,39.807666199,175.8346678,22.1342263656,97.845516,3485.981835549041,172.89033333,6370.724712328768,317.57800000000003,6619.0,115.07668300000002,29.2983272171863,,0.0,0.0,,0.0,0.0
27,1993-12-31,1895.209016670811,141.6912942,147.5766659,311.86205882352937,956.587,39.68291760069987,363.25773316851,410.1487572353244,55.01336442616408,503.592761412,568.5988938053097,34.73401425460177,11.0,0.0135765035978,0.06,39.4372539259,175.207113,26.9688192967,119.2044762,3928.3606849315056,196.228,7118.856273972602,354.875,6531.0,115.07668300000002,32.10886981645663,,0.0,0.0,,0.0,0.0
28,1992-12-31,2072.562784150016,156.9825061,163.6342241,349.0041764705882,1008.45,39.689907606254856,364.31712170503,411.34489664823,57.14346954329263,524.52488816,592.2330383480826,34.729896947522114,11.0,0.0142553287777,0.063,39.0537176992,172.6261834,27.0683803231,119.6464162,4698.916366120218,234.99700000000004,7978.186338797815,398.81,6606.0,116.149265,34.43983105434398,,0.0,0.0,,0.0,0.0
29,1991-12-31,2167.9206309801725,167.0602783,170.6435636,362.2358823529412,1068.1633000000002,41.11544083076476,376.3710618431,424.95481631681406,57.21105179690038,523.71040852,591.3134218289085,33.91055283867256,11.0,0.0147078788976,0.065,38.0354799294,168.1228148,27.1493415396,120.0043876,4917.050010511191,245.34743336591345,9263.695999999998,461.944,7138.000000000001,116.149265,35.77911514453122,,0.0,0.0,,0.0,0.0
30,1990-12-31,2233.920545829739,182.305538937,185.56114,405.1941176470589,1082.2,40.07440541651214,366.84141564785,414.1950383768436,58.01182857166258,531.04072528,599.5899705014749,,11.0,0.0147078788976,0.065,37.753,166.8456082,26.774,118.3250156,5042.281800306537,251.73382362381287,10342.44312328767,515.891,7138.000000000001,,36.27397139362932,,0.0,0.0,,0.0,0.0
31,1989-12-31,2290.0755327021293,196.807159969,192.345674534,422.8,1076.5,39.47827142624738,361.38440051234,408.0336059511061,54.79092643317456,501.556562312,566.2998525073745,,,0.0,0.0,36.142,159.7259548,30.85,136.33849,5111.449287671228,255.28983998962647,11070.06410958904,552.226,7138.000000000001,,36.92098611569458,,0.0,0.0,,0.0,0.0
32,1988-12-31,2291.762951069489,203.534127158,199.956536397,440.0,1065.5,38.79365797462432,356.09036820981,402.056194952286,52.33418996371738,480.380091672,542.3898230088495,,,0.0,0.0,36.413,160.9236122,30.505,134.813797,5000.701612021855,250.5622965427713,11372.755355191255,568.779,7138.0,,36.78502037422111,,0.0,0.0,,0.0,0.0
33,1987-12-31,2268.3293005924934,206.583335029,193.731041132,424.087,1047.3,36.86238248664812,337.43853302394,380.996692777581,48.42919983367476,443.321268052,500.54727138643057,,,0.0,0.0,36.776,162.5278544,28.217,124.7022098,5050.794876712329,252.4967714673477,11416.333424657534,569.4810000000001,7138.000000000001,,36.15344873015347,,0.0,0.0,,0.0,0.0
34,1986-12-31,2210.8047096220566,203.479017538,192.17340925,423.948,1001.4,34.85163577776856,319.03214217352,360.2143180525073,44.754524189488144,409.68325892,462.5671091445426,,,0.0,0.0,37.184,164.3309696,23.809,105.2214946,5006.31063013699,250.38409128151687,11246.881643835615,561.182,7138.000000000001,,35.008040375446875,,0.0,0.0,,0.0,0.0
35,1985-12-31,2172.398534797442,198.098453023,185.805669,409.25200000000007,962.0,34.45209353561527,315.37472941345,356.0847891773598,41.108320608404206,376.3058832728,424.8812241887905,,,0.0,0.0,36.142,159.7259548,22.473,99.3171762,4943.678383561641,247.3581001155825,10862.591671232878,542.306,7071.999999999999,,34.398499537384346,,0.0,0.0,,0.0,0.0
